artist,album,year,track_count,spotify_mau,hype_score,days_to_release,event_type,feature_track_count,first_week_streams
Ed Sheeran,Divide,2017,16,120,9.0,21,0,0,375
Ed Sheeran,Equals,2021,14,365,8.5,21,0,0,270
Drake,Scorpion,2018,25,207,9.0,7,0,3,559
Drake,CLB,2021,21,365,9.5,14,0,12,512
Drake,FATD,2023,23,574,9.0,14,0,10,411
Travis Scott,ASTROWORLD,2018,17,207,9.0,14,0,11,350
Travis Scott,Utopia,2023,19,574,8.0,14,0,13,455
Eminem,TheDeathOfSlimShady,2024,19,640,9.0,45,0,7,382
The Weeknd,AfterHours,2020,14,299,9.0,21,0,0,450
The Weeknd,HUT,2024,22,640,10.0,21,0,6,580
Justin Bieber,Justice,2021,16,406,8.0,14,0,8,252
SZA,SOS,2022,23,489,9.0,21,0,4,400
Taylor Swift,Midnights,2022,20,489,10.0,21,0,1,776
Taylor Swift,1989TV,2023,21,574,9.0,21,0,0,600
Taylor Swift,TTPD,2024,31,640,10.0,28,0,2,1173
Taylor Swift,LifeOfAShowgirl,2025,12,680,10.0,45,0,1,920
Sabrina Carpenter,ShortNSweet,2024,12,640,8.0,21,0,0,450
Sabrina Carpenter,MansBestFriend,2025,13,715,9.5,30,0,0,610
Kendrick Lamar,DAMN,2017,14,120,10.0,7,0,3,341
Kendrick Lamar,MrMorale,2022,19,422,9.5,25,0,7,338
Kendrick Lamar,GNX,2024,12,640,10.0,7,1,7,363
Ariana Grande,EternalSunshine,2024,13,620,9.0,28,0,0,230
Olivia Rodrigo,SOUR,2021,11,365,9.0,28,0,0,385
Olivia Rodrigo,GUTS,2023,12,574,9.0,45,0,0,310
